token,event,adc_bits,dac_bits,calibration_age,mean_abs_gain_error,mean_abs_bias,residual_abs,residual_q8,drift_age,sensitivity_q8,cumulative_error_q8,governor_decision,governor_reason,next_cumulative_error_q8
0,full_calibration,6,6,0,0.005101410225303332,0.0021304926964038646,0.042331915332069786,12,0,90,0,analog,analog_within_budget,4
1,serve,6,6,1,0.005101410225303332,0.0021304926964038646,0.03494632893122974,10,1,140,4,analog,analog_within_budget,9
2,serve,6,6,2,0.005101410225303332,0.0021304926964038646,0.024206414259605555,9,2,210,9,analog,analog_within_budget,16
3,serve,6,6,3,0.005101410225303332,0.0021304926964038646,0.03324714859798805,8,3,150,16,analog,analog_within_budget,22
4,serve,6,6,4,0.005101410225303332,0.0021304926964038646,0.042331915332069786,12,4,120,22,analog,analog_within_budget,29
5,serve,6,6,5,0.005101410225303332,0.0021304926964038646,0.03494632893122974,10,5,230,29,analog,analog_within_budget,38
6,serve,6,6,6,0.005101410225303332,0.0021304926964038646,0.024206414259605555,9,6,160,38,analog,analog_within_budget,47
7,serve,6,6,7,0.005101410225303332,0.0021304926964038646,0.03324714859798805,8,7,100,47,analog,analog_within_budget,55
8,serve,6,6,8,0.005101410225303332,0.0021304926964038646,0.042331915332069786,12,8,90,55,analog,analog_within_budget,65
9,column_3_calibration,6,6,0,0.0014448954949552173,0.002630913426729121,0.03494632893122974,10,0,140,65,analog,analog_within_budget,69
10,serve,6,6,1,0.0014448954949552173,0.002630913426729121,0.024206414259605555,9,1,210,69,analog,analog_within_budget,75
11,serve,6,6,2,0.0014448954949552173,0.002630913426729121,0.03324714859798805,8,2,150,75,analog,analog_but_recalibrate_soon,80
12,serve,6,6,3,0.0014448954949552173,0.002630913426729121,0.042331915332069786,12,3,120,80,analog,analog_but_recalibrate_soon,87
13,serve,6,6,4,0.0014448954949552173,0.002630913426729121,0.03494632893122974,10,4,230,87,analog,analog_but_recalibrate_soon,96
14,full_calibration,6,6,0,0.005300214385454777,0.00492318530334745,0.024206414259605555,9,0,160,96,recalibrate,state_error_budget_spent,96
15,serve,6,6,1,0.005300214385454777,0.00492318530334745,0.03324714859798805,8,1,100,24,analog,analog_within_budget,28
16,serve,6,6,2,0.005300214385454777,0.00492318530334745,0.042331915332069786,12,2,90,28,analog,analog_within_budget,33
17,serve,6,6,3,0.005300214385454777,0.00492318530334745,0.03494632893122974,10,3,140,33,analog,analog_within_budget,39
18,serve,6,6,4,0.005300214385454777,0.00492318530334745,0.024206414259605555,9,4,210,39,analog,analog_within_budget,47
19,serve,6,6,5,0.005300214385454777,0.00492318530334745,0.03324714859798805,8,5,150,47,analog,analog_within_budget,55
20,column_3_calibration,6,6,0,0.00318252473645414,0.004361986218643366,0.042331915332069786,12,0,120,55,analog,analog_within_budget,59
21,serve,6,6,1,0.00318252473645414,0.004361986218643366,0.03494632893122974,10,1,230,59,analog,analog_within_budget,65
22,serve,6,6,2,0.00318252473645414,0.004361986218643366,0.024206414259605555,9,2,160,65,analog,analog_within_budget,71
23,serve,6,6,3,0.00318252473645414,0.004361986218643366,0.03324714859798805,8,3,100,71,analog,analog_within_budget,76
24,serve,6,6,4,0.00318252473645414,0.004361986218643366,0.042331915332069786,12,4,90,76,analog,analog_but_recalibrate_soon,83
25,full_calibration,6,6,0,0.0017909534404997596,0.003180870676173179,0.03494632893122974,10,0,140,83,analog,analog_but_recalibrate_soon,87
26,serve,6,6,1,0.0017909534404997596,0.003180870676173179,0.024206414259605555,9,1,210,87,analog,analog_but_recalibrate_soon,93
27,serve,6,6,2,0.0017909534404997596,0.003180870676173179,0.03324714859798805,8,2,150,93,recalibrate,state_error_budget_spent,93
28,serve,6,6,3,0.0017909534404997596,0.003180870676173179,0.042331915332069786,12,3,120,24,analog,analog_within_budget,31
29,serve,6,6,4,0.0017909534404997596,0.003180870676173179,0.03494632893122974,10,4,230,31,analog,analog_within_budget,40
30,serve,6,6,5,0.0017909534404997596,0.003180870676173179,0.024206414259605555,9,5,160,40,analog,analog_within_budget,48
31,serve,6,6,6,0.0017909534404997596,0.003180870676173179,0.03324714859798805,8,6,100,48,analog,analog_within_budget,56
32,serve,6,6,7,0.0017909534404997596,0.003180870676173179,0.042331915332069786,12,7,90,56,analog,analog_within_budget,65
33,serve,6,6,8,0.0017909534404997596,0.003180870676173179,0.03494632893122974,10,8,140,65,analog,analog_within_budget,75
34,serve,6,6,9,0.0017909534404997596,0.003180870676173179,0.024206414259605555,9,9,210,75,analog,analog_but_recalibrate_soon,87
35,serve,6,6,10,0.0017909534404997596,0.003180870676173179,0.03324714859798805,8,10,150,87,recalibrate,state_error_budget_spent,87
