adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
3,3,0.0,1.0,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,3,0.0,0.97,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,3,0.004,1.0,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,3,0.004,0.97,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,3,0.012,1.0,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,3,0.012,0.97,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
4,3,0.0,1.0,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,3,0.0,0.97,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,3,0.004,1.0,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,3,0.004,0.97,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,3,0.012,1.0,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,3,0.012,0.97,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
5,3,0.0,1.0,100.0,6.932031250000015,0.2983691084132958,1.7407407407407407,20,0,too much model-facing error
5,3,0.0,0.97,100.0,6.932031250000015,0.2983691084132958,1.7407407407407407,20,0,too much model-facing error
5,3,0.004,1.0,100.0,6.932031250000015,0.2983691084132958,1.7407407407407407,20,0,too much model-facing error
5,3,0.004,0.97,100.0,6.932031250000015,0.2983691084132958,1.7407407407407407,20,0,too much model-facing error
5,3,0.012,1.0,100.0,6.932031250000015,0.2983691084132958,1.7407407407407407,20,0,too much model-facing error
5,3,0.012,0.97,100.0,6.932031250000015,0.2983691084132958,1.7407407407407407,20,0,too much model-facing error
6,3,0.0,1.0,100.0,6.932031250000015,0.1933775334041907,3.222222222222222,24,0,too much model-facing error
6,3,0.0,0.97,100.0,6.932031250000015,0.1933775334041907,3.222222222222222,24,0,too much model-facing error
6,3,0.004,1.0,100.0,6.932031250000015,0.1933775334041907,3.222222222222222,24,0,too much model-facing error
6,3,0.004,0.97,100.0,6.932031250000015,0.1933775334041907,3.222222222222222,24,0,too much model-facing error
6,3,0.012,1.0,100.0,6.932031250000015,0.1933775334041907,3.222222222222222,24,0,too much model-facing error
6,3,0.012,0.97,100.0,6.932031250000015,0.1933775334041907,3.222222222222222,24,0,too much model-facing error
7,3,0.0,1.0,100.0,6.932031250000015,0.19764511644889823,6.185185185185184,28,0,too much model-facing error
7,3,0.0,0.97,100.0,6.932031250000015,0.20088019489476494,6.185185185185184,28,0,too much model-facing error
7,3,0.004,1.0,100.0,6.932031250000015,0.20088019489476494,6.185185185185184,28,0,too much model-facing error
7,3,0.004,0.97,100.0,6.932031250000015,0.20088019489476494,6.185185185185184,28,0,too much model-facing error
7,3,0.012,1.0,100.0,6.932031250000015,0.20088019489476494,6.185185185185184,28,0,too much model-facing error
