token,sample_valid,analog_candidate,residual_q8,drift_age,sensitivity_q8,cumulative_error_q8,decision,action,reason,reason_code,next_cumulative_error_q8
0,0,1,8,2,80,0,0,0,no_sample,0,0
1,1,1,11,3,96,0,1,0,analog_within_budget,6,6
2,1,1,17,4,128,6,1,0,analog_within_budget,6,15
3,1,1,22,5,176,15,1,0,analog_within_budget,6,27
4,1,1,31,6,208,27,0,0,sensitive_path_needs_digital,4,27
5,1,0,15,7,112,27,0,0,not_analog_candidate,1,27
6,1,1,48,8,144,27,0,2,residual_too_high,2,27
7,1,1,19,9,224,27,1,1,analog_but_recalibrate_soon,7,42
8,1,1,26,0,80,24,1,0,analog_within_budget,6,31
9,1,1,33,1,96,31,1,0,analog_within_budget,6,41
10,1,1,12,12,128,41,0,1,calibration_too_old,3,41
11,1,1,9,13,176,24,0,1,calibration_too_old,3,24
12,1,1,21,14,208,24,0,1,calibration_too_old,3,24
13,1,0,37,0,112,24,0,0,not_analog_candidate,1,24
14,1,1,28,1,144,24,1,0,analog_within_budget,6,34
15,1,1,16,2,224,34,1,0,analog_within_budget,6,43
16,1,1,8,3,80,43,1,0,analog_within_budget,6,48
17,1,1,11,4,96,48,1,0,analog_within_budget,6,55
18,1,1,17,5,128,82,1,1,analog_but_recalibrate_soon,7,92
19,1,1,22,0,176,89,0,1,state_error_budget_spent,5,89
20,1,1,31,0,208,96,0,0,sensitive_path_needs_digital,4,96
21,0,1,15,1,112,96,0,0,no_sample,0,96
22,1,1,48,2,144,96,0,2,residual_too_high,2,96
23,1,1,19,3,224,96,0,1,state_error_budget_spent,5,96
24,1,1,26,0,80,24,1,0,analog_within_budget,6,31
25,1,1,33,1,96,31,1,0,analog_within_budget,6,41
26,1,1,12,2,128,41,1,0,analog_within_budget,6,47
27,1,1,9,3,176,47,1,0,analog_within_budget,6,54
28,1,1,21,4,208,54,1,0,analog_within_budget,6,65
29,1,0,37,5,112,65,0,0,not_analog_candidate,1,65
30,1,1,28,6,144,65,1,0,analog_within_budget,6,78
31,1,1,16,7,224,78,1,1,analog_but_recalibrate_soon,7,90
